Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
311 Court street,1/31/2023,"$2,500,000",Carroll Gardens,3300,$758,Building,,,,,,,,,,,,,,,
3724 avenue R,5/17/2023,"$849,000",marine Park,1424,$596,House,3,2,,,,,,,,,,,,,
161 North 4th street #2C,6/7/2023,"$980,000",Williamsburg,680,"$1,441",Condo,1,1,19,12,12.8,11.4,,,,,Galley,2,0,0,
1901 Ocean Avenue #7A,3/3/2023,"$772,500",Midwood,997,$775,Condo,2,2,,,,,,,,,,,,,
1019 Van Siclen Avenue #1H,4/11/2023,"$338,000",New Lots ,919,$368,Condo,2,1,,,,,,,,,,,,,
115 Eastern Parkway #5F,5/17/2023,"$1,095,000",Prospect Heights,,#DIV/0!,Co-op,2,1,22.11,11.1,10.4,11.8,10.7,8,,,Island,4,0,0,
372 81st street,4/3/2023,"$1,395,000",bay Ridge ,2319,$602,House,3,2.5,19.4,12.7,31.5,18.5,11.2,7.2,,,Galley,8,0,0,
693 Quincy street #S,6/7/2023,"$1,750,000",Stuyvesant Heights,3200,$547,Multi-family,5,4,17.5,13,11.4,11.2,13.4,11.9,17.2,11.8,Galley,5,0,0,
372 Pacific Street ,5/4/2023,"$2,750,000",Boerum Hill,2400,"$1,146",Townhouse,4,2.5,12,16,12,16.3,12,12.5,11.8,15.7,Galley,1,0,1,
566 Vermont street #C,6/12/2023,"$515,000",East New York,1220,$422,Condo,3,2,13.5,14.1,12.8,13.9,10.3,13.1,13.11,9.1,L-shape,6,0,0,
22 North 6th street #4I,5/26/2023,"$1,999,000",Williamsburg,1371,"$1,458",Condo,3,2,14.3,13.11,19.4,11.3,13,12.5,13,11.3,Island,3,0,1,
209 East 9th Street,6/12/2023,"$1,149,000",Kensington,,#DIV/0!,House,3,2,12,13,13,20,10,14,7,8,L-shape,4,0,0,
1305 Avenue O,5/24/2023,"$1,100,000",Midwood,1980,$556,Multi-family,5,3,,,,,,,,,,,,,
126 First Place #5,4/29/2023,"$2,950,000",Carroll Gardens,1617,"$1,824",Condo,3,2,14.3,15.7,16.8,14.7,12.2,15.7,10.2,15.7,L-shape,7,0,0,
1165 East 54th street #5J,5/10/2023,"$215,000",East Flatbush,750,$287,Co-op,1,1,,,,,,,,,,,,,
2072 Bay Ridge Avenue,5/19/2023,"$1,120,000",Bensonhurst,1408,$795,house,4,2.5,,,,,,,,,,,,,
244 Franklin Avenue #5,3/30/2023,"$579,000",Bedford-Stuyvesant,644,$899,Condo,1,1,,,,,,,,,Island,1,0,0,
10 Avenue P #2A ,4/17/2023,"$560,000",Gravesend,1030,$544,Condo,2,1,19,12,18.6,11.9,14.4,8.3,,,Galley,2,0,1,
1733 Stillwell Avenue #B,4/4/2023,"$549,999",Gravesend,883,$623,Condo,2,1.5,10.7,13.2,9.1,14,10.3,9.1,,,Galley,1,0,0,
2483 West 16th Street #12J,6/8/2023,"$389,000",Gravesend,1050,$370,Co-op,2,1,,,,,,,,,,,,,
764 Saint John´s Place #4D,6/7/2023,"$439,000",Crown Height,466,$942,Condo,0,1,10.11,12.2,,,,,,,L-shape,0,0,0,
120 Clifton Place,6/7/2023,"$2,100,000",Bedford-Stuyvesant,,#DIV/0!,house,4,2,15.1,11.9,12.2,10.2,9.5,9.8,9.3,9.9,L-shape,1,0,0,
1351 78th street,5/1/2023,"$1,125,000",Dyker Heights,2100,$536,Multi-family,4,2.5,,,,,,,,,,,,,
114 Aster Court,4/14/2023,"$674,999",Gerritsen Beach,1671,$404,House,,,,,,,,,,,,,,,
149 clinton street,4/27/2023,"$9,400,000",Brooklyn Heights,,#DIV/0!,Townhouse,5,5,,,,,,,,,,,,,
215 Putnam Avenue #2A,6/13/2023,"$725,000",Bedford-Stuyvesant,631,"$1,149",Condo,1,1,21.4,13,10,10,,,,,Galley,1,0,0,
105 Montague street #802,5/25/2023,"$1,595,000",Brooklyn Heights,,#DIV/0!,Co-op,1,2,15.9,18.6,15.3,13.6,8.1,8.6,,,L-shape,4,0,0,
801 Union street #4,4/26/2023,"$2,395,000",park slope ,,#DIV/0!,Co-op,3,2,11.7,17.6,11.4,17,6.6,12.8,9.5,10.2,Island,4,0,0,
1 Arlington place,4/14/2023,"$2,995,000",Bedford-Stuyvesant,3900,$768,Townhouse,5,3.5,,,,,,,,,Island,4,0,1,
251 Bay 19th street #3B,5/3/2023,"$339,000",Bath Beach ,650,$522,Co-op,1,1,,,,,,,,,,,,,
315 Sixth Avenue #4,5/30/2023,"$1,575,000",park slope ,1500,"$1,050",Co-op,3,1,,,,,,,,,Line,1,0,0,
124 Covert street,6/6/2023,"$1,550,000",Bushwick,2508,$618,Multi-family,5,3.5,18,16.6,18.2,12,10.5,13.6,7.4,13,L-shape,6,0,0,
2524 Ralph Avenue,4/27/2023,"$899,000",Flatlands,1296,$694,House,3,2.5,,,,,,,,,,,,,
17 Saint Felix Street,5/16/2023,"$4,475,000",Fort Greene ,3750,"$1,193",House,5,3,27.3,9.2,20.1,14.11,14.11,11.5,8.9,9,Island,3,0,3,
273 Madison street,5/18/2023,"$3,385,000",Bedford-Stuyvesant,4320,$784,Multi-family,5,6.5,,,,,,,,,Line,1,0,0,
29 South 3rd street #2B,4/18/2023,"$1,170,600",Williamsburg,864,"$1,355",Condo,2,1,16.7,11.7,16.9,10,11.1,8.7,,,Island,2,0,0,
76 Battery Avenue #2A,3/27/2023,"$699,000",Dyker Heights,,#DIV/0!,Condo,3,2,,,,,,,,,,,,,
229 Ninth Street #PH9,5/4/2023,,Gowanus,"1,754",$0,Condo,3,2.5,11.9,20.3,15.6,12.6,11,12.1,10.4,11.8,Island,4,0,1,
668 Nostrand Avenue #2B,5/9/2023,"$598,000",Crown Heights,612,$977,Condo,1,1,,,,,,,,,,,,,
1043 66th Street,5/2/2023,"$1,580,000",Dyker Heights,"2,985",$529,Multi-family ,5,3.5,,,,,,,,,,,,,
7002 Ridge Boulevard #D1,5/24/2023,"$298,000",bay Ridge ,650,$458,Co-op,1,1,12,19.5,15,10.8,,,,,Line,3,0,0,
8422 Glenwood Road,6/9/2023,"$749,000",Canarsie,,#DIV/0!,Multi-family ,4,2,,,,,,,,,,,,,
1825 Coleman street,5/18/2023,"$849,000",marine Park,"1,770",$480,Multi-family ,3,2,,,,,,,,,,,,,
22 North 6th Street #4C,4/6/2023,"$2,150,000",Williamsburg,"1,110","$1,937",Condo,2,2,27.9,12.9,14.8,13.1,10.3,12.7,,,Island,3,0,0,
1534 83rd street,4/20/2023,"$1,070,000",Bensonhurst,"1,800",$594,Multi-family ,5,2,10.8,2.1,13.1,11.5,9.6,14.1,9,9,Line,5,0,1,
978 East 77th street,4/3/2023,"$699,000",Canarsie,"2,376",$294,House,3,1,,,,,,,,,,,,,
372 Dekalb Avenue #2A,5/23/2023,"$950,000",Clinton Hill,,#DIV/0!,Co-op,2,2,14.7,17.4,12.9,13.3,8.6,9.9,,,Island,4,0,1,
751 43rd Street,5/2/2023,"$1,200,000",Sunset Park,2000,$600,Multi-family ,5,3,12,10,15.2,12.8,8.5,11.9,11,11.3,Line,9,0,0,
243 Mc Donald Avenue #4S,6/6/2023,"$525,000",Windsor Terrace ,680,$772,Co-op,1,1,17.7,10.1,11,13.48,,,,,L-shape,3,0,0,
464 Hancock Street #3B,3/23/2023,"$925,000",Stuyvesant Heights,923,"$1,002",Condo,2,2,13,18,12.9,11,9.7,10.11,,,Island,2,0,0,
225 Park Place #6J,3/21/2023,"$1,295,000",Prospect Heights,,#DIV/0!,Co-op,2,2,25,12.9,,,16.6,11.9,11,8.8,Island,4,0,0,
451 a Degraw street,5/19/2023,"$5,496,000",Brooklyn,3800,"$1,446",House,4,3,17.1,19.4,17.3,12.4,17.3,14.6,17,17.3,Island,4,0,2,
42 Maspeth Avenue #2J,5/15/2023,"$870,000",East Williamsburg,617,"$1,410",Condo,1,1,19,10.1,,,10.6,10.5,,,Island,3,0,0,
440 Kent Avenue #10D,4/18/2023,"$1,595,000",Williamsburg,"1,222","$1,305",Condo,2,2,14.11,19.5,17.5,12,13.5,10.4,,,Island,4,0,1,
526 Union Avenue #505,5/14/2023,"$890,000",Williamsburg,605,"$1,471",Condo,1,1,25.8,11,14.6,10,,,,,Line,3,0,0,
2140 Knapp street #2A,6/13/2023,"$200,000",homecrest,,#DIV/0!,Co-op,1,1,11.1,17.9,15,12,,,,,Galley,1,0,0,
1761 Burnett street,3/31/2023,"$849,000",Sheepshead Bay,1700,$499,House,3,1,,,,,,,,,,,,,
1670 West 7th street,5/6/2023,"$550,000",Gravesend,586,$939,House,,,,,,,,,,,,,,,
3500 Snyder Avenue #5S,5/23/2023,"$269,000",East Flatbush,,#DIV/0!,Co-op,1,1,12,19,12.5,10,,,,,Island,3,0,0,
40 Carroll street #GL,5/22/2023,"$725,000",Columbia st Waterfront District,,#DIV/0!,Condo,1,1,,,,,,,,,,,,,
1235 Dean street ,5/24/2023,"$1,925,000",Crown Heights ,4429,$435,Building,5,4,,,,,,,,,,,,,
7109 Narrow Avenue,5/19/2023,"$1,395,000",bay Ridge ,2720,2720,Multi-family ,4,3,,,,,,,,,,,,,
303 Avenue P #A7,5/11/2023,"$289,000",Bensonhurst,750,$385,Co-op,1,1,11.11,17.6,14.9,12.3,,,,,Galley,0,0,0,
1840 East 13th street #0W,6/8/2023,"$398,000",homecrest,1050,$379,Co-op,2,1,,,,,,,,,,,,,
111 Monroe Street #PH6F,3/29/2023,"$799,000",Bedford-Stuyvesant,690,"$1,158",Condo,1,1,20.1,9.1,10,12.6,,,,,Island,3,0,0,
225 Park Place #4G,5/4/2023,"$475,000",Prospect Heights,,#DIV/0!,Co-op,0,1,20,13,,,,,,,Galley,3,0,0,
537 Essex street,4/29/2023,"$565,000",East New York,1116,$506,House,3,1.5,17,19,16.3,17,14.6,11.6,11.4,9.3,L-shape,5,0,0,
1416 80th street,6/2/2023,"$1,488,000",Bensonhurst,3124,$476,Multi-family ,4,3,,,,,,,,,,,,,
75 Henry Street #4L,5/19/2023,"$699,000",Brooklyn Heights,,#DIV/0!,Co-op,1,1,11.7,14.3,10.8,21.9,,,,,L-shape,1,0,0,
111 Montgomery Street #12L,3/6/2023,"$1,580,000",Crown Heights,"1,215","$1,300",Condo,3,2,13.6,19,12.2,13.2,10.6,14.4,10.5,11.8,Island,0,0,0,
323 Lenox Road #6G,3/14/2023,"$635,000",Flatbush,707,$898,Condo,1,1,15,12.1,10.1,11.5,,,,,Island,3,0,0,
111 Montgomery Street #10N,3/14/2023,"$1,050,000",Crown Heights,753,"$1,394",Condo,2,1,26.4,11,12.2,9.4,12,9.4,,,Island,0,0,0,
95 Lexington Avenue #2B,6/6/2023,"$1,195,000",Bedford-Stuyvesant,1011,"$1,182",Condo,1,2,12.11,18.9,8.7,19.1,9.1,8.5,,,Line ,1,0,0,
1766 80th Street,4/17/2023,"$2,080,000",Bensonhurst,3176,$655,Multi-family ,8,3,3176,,,,,,,,,,,,
160 Columbia Heights #2B,4/4/2023,"$825,000",Brooklyn Heights,,#DIV/0!,Co-op,1,1,12.6,21.1,13,21.6,,,,,Galley,3,0,0,
205 Clinton Avenue #5H,5/25/2023,"$695,000",Clinton Hill,,#DIV/0!,Co-op,1,1,19.3,18.8,19.3,10,,,,,Island,6,0,0,
1610 De Kalb Avenue #4C,4/19/2023,"$513,000",Bushwick,648,$792,Condo,1,1,9.9,22,8,15.6,,,,,Island,1,0,0,
8015 Narrows Avenue,5/11/2023,"$2,270,000",bay Ridge ,6,3.5,House,6,3.5,,,,,,,,,,,,,
212 South Oxford Street #5J,4/24/2023,"$1,200,000",Fort Greene,"1,067","$1,125",Condop,2,2,16,19.1,11.2,14.1,9.6,11.1,,,Island,5,0,1,
2644 East 19th Street,3/30/2023,"$2,199,000",Sheepshead Bay,3272,$672,House,5,4.5,,,,,,,,,,,,,
111 Hicks street #9A,5/26/2023,"$525,000",Brooklyn Heights,,#DIV/0!,Co-op,0,1,17,16,,,,,,,Galley,1,1,0,
1608 Ocean Parkway #3E,3/24/2023,"$175,000",Midwood,625,$280,Co-op,0,1,13,19,,,,,,,Island,4,0,0,
37 Orient Avenue #PH,3/30/2023,"$1,700,000",Williamsburg,1244,"$1,367",Condo,3,2,15.7,17.3,18.8,8.99,17.95,6,15-3,11.99,Island,3,0,0,
2010 West 11th street,5/18/2023,"$949,000",Gravesend,1542,$615,House,3,2,,,,,,,,,,,,,
10 Arlington Place,5/8/2023,"$2,795,000",Bedford-Stuyvesant,3300,$847,Townhouse,5,5,,,,,,,,,Island,11,0,0,
111 Montgomery street #4D,5/14/2023,"$499,000",Crown Heights,480,"$1,040",New Development,0,1,16.4,15.8,7.4,9.4,,,,,Line,2,0,0,
728 Liberty Avenue ,3/29/2023,"$1,100,000",East New York,2767,$398,Multi-family ,5,4,,,,,,,,,,,,,
1640 East 35th street,4/20/2023,"$749,000",Marine Park,1200,$624,House,3,2.5,18.2,13.4,11.4,5,10.2,8.3,13.5,10.3,Galley ,9,0,0,
2111 Kimball street,4/5/2023,"$788,000",Marine Park,1998,$394,House,3,2.5,,,,,,,,,Island,8,1,0,
236 Ashford street,2/24/2023,"$348,888",East New York,2171,$161,Multi-family ,4,2,,,,,,,,,,,,,
396 12th street #2L,4/20/2023,"$725,000",park slope ,,#DIV/0!,Co-op,1,1,17.6,15,13,9.7,,,,,Island,1,0,0,
2059 East 33rd street,5/17/2023,"$868,000",Marine Park,1892,$459,Multi-family ,4,2.5,,,,,,,,,,,,,
371 Union street #TH1,5/5/2023,"$2,750,000",Carroll Gardens,3375,$815,Multi-family ,5,4,,,,,,,,,,,,,
1 Northside Piers #17C,4/4/2023,"$1,198,000",Williamsburg,737,"$1,626",Condo,1,1,14.7,15,15.8,9.9,,,,,Island,3,0,0,
9942 Fort Hamilton,4/26/2023,"$998,000",Hamiltn Parkway,1995,$500,House,3,1.5,,,,,,,,,,,,,
1608 Ocean Parkway #5C,5/9/2023,"$340,000",Midwood,832,$409,Co-op,1,1,12,20,14,15,,,,,Galley,3,0,0,
970 Kent Avenue #602,5/13/2023,"$1,100,000",Bedford-Stuyvesant,941,"$1,169",Condo,2,2,19,12,11.2,14.2,13.1,11.4,,,Island,1,0,1,
349 Prospect Place #3F,3/21/2023,"$875,000",Prospect Heights,619,"$1,414",Condo,1,1,14,12.95,10.2,9.95,,,,,Island,2,0,0,
1199 East 53rd Street #5U,4/1/2023,"$288,888",East Flatbush,1000,$289,Co-op,2,1,,,,,,,,,,,,,
651 New York Avenue #203,4/10/2023,"$575,000",Wingate,663,$867,Condo,1,1,,,,,,,,,L-shape,0,0,0,
844 58th street ,6/5/2023,"$1,799,000",Sunset Park,1995,$902,Multi-family ,6,2,,,,,,,,,,,,,
75 Eighth Avenue ,6/15/2023,"$4,500,000",park slope ,,#DIV/0!,Multi-family ,7,4.5,16.3,18.9,16.6,12.8,16.8,12.3,16.6,12.6,Galley,10,3,3,
955 Schenck Avenue,5/10/2023,"$649,000",New Lots ,1890,$343,House,3,2.5,,,,,,,,,,,,,
361 Clinton Avenue #12A,5/23/2023,"$745,000",Clinton Hill,,#DIV/0!,Co-op,1,1,11,18.7,10,19.3,,,,,L-shape,5,0,0,
4014 Avenue R,6/5/2023,"$769,000",Marine Park,1358,$566,House,3,2.5,,,,,,,,,,,,,
108 Pierrepont street #7,5/11/2023,"$750,000",Brooklyn Heights,,#DIV/0!,Co-op,1,1,17.8,15.6,17.3,14.3,,,,,Line,0,0,1,
1113 Greene Avenue ,6/13/2023,"$1,995,000",Bushwick,2676,$746,Multi-family ,5,3,,,,,,,,,,,,,
1015A President street #1R,2/25/2023,"$875,000",Crown Heights,992,$882,Condo,1,1.5,15.5,9.7,10.9,8,,,,,Galley,2,0,0,
510 Driggs avenue #2B,2/28/2023,"$3,300,000",Williamsburg,1821,"$1,812",New Development,3,2.5,19.5,20.95,14.05,12,12.8,11.4,12.8,11.4,Island,3,0,1,
9 College Place #3H,3/13/2023,"$3,850,000",Brooklyn Heights,1905,"$2,021",Condo,3,3,21.9,18.5,15.8,15.9,17.1,11.9,14,12,Island,4,1,1,
89 State Street #4,4/11/2023,"$1,475,000",Brooklyn Heights,,#DIV/0!,Co-op,2,1,12.6,14.8,13.3,13.5,8.3,10.3,,,L-shape,1,0,0,
325 58th street ,6/4/2023,"$1,400,000",Sunset Park,2003,$699,Multi-family ,6,2.5,,,,,,,,,,,,,
